class_id,class_name,instances,images_containing_class
291,table_salt,300,300
1,all-purpose_flour,300,300
167,mango,300,300
45,brussels_sprouts,299,299
33,black_salt,299,299
193,partridge,299,299
131,green_olives,299,299
243,salmon,299,299
2,allspice,299,299
214,pineapples,299,299
17,bamboo_shoots,299,299
93,cumin,298,298
18,banana,298,298
261,sour_cherry,298,298
306,wheat_bran,298,298
313,wild_boar,298,298
10,artichoke_hearts,297,297
152,leek,297,297
160,linguine,297,297
23,beets,297,297
310,white_rice,297,297
221,pomelo,297,297
61,cauliflower,296,296
283,strawberry,296,296
48,bulgur,296,296
128,grapeseed_oil,296,296
292,tangerine,296,296
66,chard_stalk,296,296
153,lemon,296,296
187,orange_lentils,296,296
110,fennel,296,296
57,caribou,296,296
4,amaranth,296,296
47,buffalo,295,295
311,white_sugar,295,295
282,squirrel,295,295
251,scallop,294,294
133,green_peas,294,294
85,corn,294,294
314,yellow_lentils,294,294
147,kohlrabi,294,294
172,muscovado_sugar,294,294
176,navy_beans,294,294
249,savoy_cabbage,294,294
300,turmeric,294,294
209,picholine_olives,293,293
284,sugar,293,293
195,pasta,293,293
286,sunflower_oil,293,293
213,pineapple,293,293
94,daikon,293,293
124,golden_lentils,292,292
58,carrot,292,292
132,green_onion,292,292
277,sprouted_mung_beans,292,292
309,white_peas,292,292
248,sardines,292,292
205,penne,291,291
203,pears,291,291
234,red_lentils,291,291
59,carrots,291,291
102,einkorn,291,291
20,beef,291,291
50,cake_flour,291,291
232,ramps,291,291
308,white_peach,290,290
186,orange,290,290
96,deer,290,290
149,kumquat,290,290
139,huckleberry,290,290
164,mackerel,290,290
258,snap_peas,290,290
287,sweet_potato,290,290
56,cardamom,290,290
95,date_sugar,289,289
115,freekeh,289,289
27,bison,289,289
274,sprouted_green_peas,289,289
9,apricots,289,289
125,goose,289,289
189,oysters,289,289
238,rigatoni,289,289
268,spinach,289,289
280,sprouted_soybeans,289,289
37,bok_choy,289,289
25,beluga_lentils,288,288
39,bread_flour,288,288
119,garlic,288,288
290,swiss_chard,288,288
222,pork,288,288
265,spaghetti,287,287
237,rice,287,287
180,oat_flour,286,286
175,mutton,286,286
166,mandarin_oranges,285,285
138,horseradish,285,285
7,apples,285,285
104,elephant_garlic,285,285
54,capers,285,285
83,collard_greens,284,284
40,breadfruit,284,284
15,avocado_oil,284,284
207,pesto,284,284
135,guava,284,284
155,lentils,284,284
216,pinto_beans,284,284
84,coriander,283,283
230,radicchio,283,283
123,goji_berry,283,283
52,cannellini_beans,283,283
227,quinoa,283,283
215,pink_salt,283,283
202,pearl_onion,283,283
279,sprouted_pinto_beans,283,283
87,cornmeal,283,283
304,watercress,283,283
253,semolina,283,283
5,anchovies,282,282
264,soybeans,282,282
35,blackberry,282,282
158,lima_beans,282,282
82,cod,282,282
63,celery,282,282
257,smoked_salt,282,282
103,elderberry,282,282
256,shrimp,282,282
79,coconut_flour,281,281
134,grouse,281,281
219,polenta,281,281
16,baked_beans,281,281
260,sorghum,281,281
278,sprouted_navy_beans,281,281
30,black_cherry,281,281
13,asparagus,281,281
173,mushrooms,280,280
212,pigeon_peas,280,280
231,radish,280,280
86,corn_grits,279,279
315,yellow_peas,279,279
182,octopus,279,279
276,sprouted_lentils,278,278
223,potato,278,278
121,gluten-free_flour,278,278
75,cinnamon,278,278
99,duck,278,278
72,chickpeas,278,278
191,paprika,277,277
130,green_lentils,277,277
297,tuna,277,277
81,coconut_sugar,277,277
107,farfalle,277,277
106,emmer,277,277
198,peach,277,277
129,green_beans,276,276
161,lobster,276,276
171,mung_beans,276,276
168,manzanilla_olives,276,276
151,lasagna,276,276
285,sun-dried_tomatoes,275,275
113,flaky_salt,275,275
185,onion,274,274
196,pasta_sauce,274,274
246,santol,273,273
116,fruit_cocktail,273,273
97,demerara_sugar,272,272
89,crab,271,271
165,mandarin,271,271
154,lemongrass,271,271
21,beet,271,271
122,goat,270,270
112,field_peas,270,270
293,teff,270,270
53,canola_oil,269,269
46,buckwheat,269,269
245,salt,267,267
41,broccoli,267,267
120,ginger,267,267
200,peanut_oil,267,267
190,papaya,267,267
60,castelvetrano_olives,265,265
74,chive,265,265
295,tomatoes,265,265
114,flaxseed_oil,264,264
255,shallot,264,264
76,clams,264,264
91,cranberry,262,262
181,oats,261,261
267,spelt,260,260
275,sprouted_kidney_beans,260,260
271,sprouted_adzuki_beans,255,255
206,peppers,255,255
235,refried_beans,255,255
26,bergamot,252,252
28,black-eyed_peas,249,249
80,coconut_oil,247,247
140,jackfruit,246,246
312,whole_wheat_flour,240,240
184,olives,228,228
