class_id,class_name,instances,images_containing_class
72,crab,1100,1100
237,watercress,1099,1099
206,savoy_cabbage,1098,1098
234,turnip,1098,1098
154,olives,1098,1098
21,black_bean,1098,1098
139,mandarin,1098,1098
163,passion_fruit,1098,1098
119,kale,1097,1097
209,sesame_oil,1097,1097
59,cinnamon,1096,1096
30,broccoli,1096,1096
44,cauliflower,1096,1096
69,corn_grit,1096,1096
23,black_sapote,1095,1095
46,celery,1095,1095
227,tangerine,1095,1095
116,horseradish,1095,1095
91,fennel,1094,1094
159,papaya,1094,1094
51,chia,1093,1093
188,radicchio,1093,1093
217,spelt,1092,1092
53,chicken_breast,1092,1092
187,rabbit,1092,1092
157,ostrich,1091,1091
122,kiwi,1090,1090
16,barley,1090,1090
198,rutabaga,1090,1090
111,grouse,1089,1089
0,adzuki_bean,1089,1089
31,broccoli_stem,1089,1089
109,green_bean,1088,1088
171,penne,1088,1088
210,shallot,1087,1087
167,peach,1087,1087
42,caribou,1087,1087
1,allspice,1087,1087
79,dragon_fruit,1087,1087
25,blueberry,1086,1086
99,fusilli,1086,1086
165,pasta_sauce,1086,1086
107,grapefruit,1086,1086
19,bergamot,1086,1086
113,guinea_fowl,1085,1085
177,pinto_bean,1085,1085
231,tuna,1085,1085
151,oat,1085,1085
41,cardamom,1085,1085
145,mushroom,1083,1083
102,ginger,1082,1082
39,canola_oil,1081,1081
172,pepper,1081,1081
137,macaroni,1080,1080
43,carrot,1080,1080
93,fish_sauce,1080,1080
219,squab,1080,1080
33,buckwheat,1080,1080
121,kidney_bean,1079,1079
146,mustard_green,1076,1076
131,lettuce,1076,1076
117,huckleberry,1076,1076
228,teff,1075,1075
88,farfalle,1074,1074
225,sweet_potato,1074,1074
218,spinach,1074,1074
204,sardine,1072,1072
100,garlic,1072,1072
239,white_peach,1072,1072
195,rigatoni,1072,1072
158,oyster,1072,1072
238,wheat_bran,1071,1071
57,chili_sauce,1070,1070
58,chive,1069,1069
212,sorghum,1068,1068
129,lemongrass,1068,1068
208,semolina,1068,1068
220,squirrel,1068,1068
78,deer,1066,1066
70,cornmeal,1066,1066
123,kohlrabi,1066,1066
52,chicken,1065,1065
38,cannellini_bean,1065,1065
144,mung_bean,1062,1062
67,coriander,1062,1062
97,freekeh,1061,1061
95,flaxseed_oil,1060,1060
185,quail,1059,1059
45,celeriac,1058,1058
77,daikon,1058,1058
174,pheasant,1057,1057
197,rotini,1056,1056
236,venison,1055,1055
63,coconut_oil,1055,1055
11,avocado_oil,1053,1053
149,nectarine,1050,1050
18,beet,1050,1050
194,rice,1048,1048
168,peanut_oil,1048,1048
132,lima_bean,1047,1047
2,amaranth,1045,1045
205,sausage,1042,1042
114,haddock,1040,1040
136,lychee,1040,1040
147,mutton,1036,1036
61,clove,1035,1035
124,kumquat,1035,1035
6,artichoke,1027,1027
74,cranberry,1025,1025
184,pumpkin,1009,1009
